complaintref,complaintsystemid,complaintid,trialref,complaint,complaint_type,complaintdate,complaintdate_as_date,wherelodged,accused_familyref,personref,involvement,witchpricker,createdby,createdate,lastupdatedby,lastupdatedon
CP/JO/1,JO,1,T/JO/82,true,Suspect's,1/6/1630,2030-06-01T00:00:00,Privy Council,,,,false,jhm,2001-06-08T14:27:51,jhm,2001-06-08T14:28:16
CP/JO/22,JO,22,T/JO/416,true,Suspect's,,,King,,,,false,jhm,2001-07-16T12:22:52,jhm,2001-07-16T12:32:22
CP/JO/23,JO,23,T/JO/417,true,Suspect's,2/8/1661,1961-08-02T00:00:00,Privy Council,,,,false,jhm,2001-07-16T12:44:34,jhm,2001-07-16T12:44:57
CP/JO/24,JO,24,T/JO/417,true,Suspect's,7/11/1661,1961-11-07T00:00:00,Privy Council,,,,false,jhm,2001-07-16T12:44:58,jhm,2001-07-16T12:45:33
CP/JO/25,JO,25,T/JO/420,true,Suspect's,2/8/1661,1961-08-02T00:00:00,Privy Council,,,,false,jhm,2001-07-16T14:52:45,jhm,2001-07-16T14:53:07
CP/JO/26,JO,26,T/JO/420,true,Suspect's,7/11/1661,1961-11-07T00:00:00,Privy Council,,,,false,jhm,2001-07-16T14:53:08,jhm,2001-07-16T14:53:24
CP/JO/27,JO,27,T/JO/422,true,Suspect's,2/8/1661,1961-08-02T00:00:00,Privy Council,,,,false,jhm,2001-07-16T15:11:13,jhm,2001-07-16T15:11:28
CP/JO/28,JO,28,T/JO/422,true,Suspect's,7/11/1661,1961-11-07T00:00:00,Privy Council,,,,false,jhm,2001-07-16T15:11:29,jhm,2001-07-16T15:11:38
CP/JO/29,JO,29,T/LA/320,true,Family member,,,,AF/LA/100,,,false,jhm,2001-07-16T15:26:10,jhm,2001-07-16T15:27:08
CP/JO/30,JO,30,T/JO/514,true,Suspect's,3/6/1629,2029-06-03T00:00:00,Presbytery,,,,false,jhm,2001-07-24T09:25:33,jhm,2001-07-24T09:25:54
CP/JO/31,JO,31,T/JO/539,true,Suspect's,20/8/1644,2044-08-20T00:00:00,Privy Council,,,,false,jhm,2001-07-26T15:06:58,jhm,2001-07-26T15:07:23
CP/JO/32,JO,32,T/JO/539,true,Suspect's,8/4/1644,2044-04-08T00:00:00,Privy Council,,,,false,jhm,2001-07-27T09:11:25,jhm,2001-07-27T09:11:55
CP/JO/33,JO,33,T/JO/598,true,Suspect's,9/1678,1978-09-01T00:00:00,Privy Council,,,,false,jhm,2001-08-16T11:51:13,jhm,2001-08-16T11:51:57
CP/JO/50,JO,50,T/JO/769,true,Suspect's,15/6/1665,1965-06-15T00:00:00,Privy Council,,,,false,jhm,2001-08-31T12:46:25,jhm,2001-08-31T12:46:42
CP/JO/51,JO,51,T/JO/770,true,Suspect's,11/1/1666,1966-01-11T00:00:00,Privy Council,,,,false,jhm,2001-08-31T13:11:28,jhm,2001-08-31T13:11:45
CP/JO/52,JO,52,T/JO/769,true,Family member,31/1/1667,1967-01-31T00:00:00,Privy Council,,,,false,jhm,2001-08-31T15:57:46,jhm,2001-08-31T15:58:14
CP/JO/53,JO,53,T/JO/830,true,Suspect's,1661,1961-06-01T00:00:00,Privy Council,,,,false,jhm,2001-09-12T16:06:26,jhm,2001-09-12T16:07:55
CP/JO/77,JO,77,T/JO/81,true,Suspect's,,,Privy Council,,,,false,jhm,2002-10-02T12:11:41,jhm,2002-10-02T12:22:15
CP/JO/78,JO,78,T/JO/78,true,Suspect's,,,Privy Council,,,,false,jhm,2002-10-02T12:15:59,jhm,2002-10-02T12:16:06
CP/JO/79,JO,79,T/JO/79,true,Suspect's,,,Privy Council,,,,false,jhm,2002-10-02T12:20:06,jhm,2002-10-02T12:21:56
CP/JO/80,JO,80,T/JO/80,true,Suspect's,,,Privy Council,,,,false,jhm,2002-10-02T12:21:33,jhm,2002-10-02T12:21:49
CP/JO/81,JO,81,T/LA/1055,true,Suspect's,1649,2049-06-01T00:00:00,Privy Council,,,,false,jhm,2002-10-03T15:49:24,jhm,2002-10-03T15:49:47
CP/JO/82,JO,82,T/JO/1018,true,Suspect's,8/1662,1962-08-01T00:00:00,Privy Council,,,,false,jhm,2002-10-08T15:43:07,jhm,2002-10-08T15:43:26
CP/JO/83,JO,83,T/JO/1018,true,Suspect's,8/1662,1962-08-01T00:00:00,Privy Council,,,,false,jhm,2002-10-08T15:43:32,jhm,2002-10-08T15:43:53
CP/LA/10,LA,10,T/LA/104,true,Suspect's,27/2/1634,2034-02-27T00:00:00,Privy Council,,,,false,LEM,2001-06-15T12:12:11,LEM,2001-06-15T12:12:38
CP/LA/11,LA,11,T/LA/172,true,Unknown,,,,,,,false,LEM,2001-06-20T15:21:18,LEM,2001-06-20T15:21:19
CP/LA/12,LA,12,T/LA/173,true,Family member,16/11/1598,1998-11-16T00:00:00,Privy Council,AF/LA/60,,,false,LEM,2001-06-20T15:55:23,LEM,2001-06-20T15:58:21
CP/LA/13,LA,13,T/LA/175,true,Other,3/3/1598,1998-03-03T00:00:00,Privy Council,,LA/190,,false,LEM,2001-06-20T16:28:58,LEM,2001-06-25T10:30:11
CP/LA/14,LA,14,T/LA/203,true,Other,3/3/1598,1998-03-03T00:00:00,Privy Council,,LA/190,,false,LEM,2001-06-25T10:34:40,LEM,2001-06-25T10:35:00
CP/LA/15,LA,15,T/LA/204,true,Family member,3/3/1598,1998-03-03T00:00:00,Privy Council,AF/LA/62,,,false,LEM,2001-06-25T10:40:12,LEM,2001-06-25T10:41:37
CP/LA/16,LA,16,T/LA/205,true,Family member,3/3/1598,1998-03-03T00:00:00,Privy Council,AF/LA/63,,,false,LEM,2001-06-25T10:43:50,LEM,2001-06-25T10:45:48
CP/LA/17,LA,17,T/LA/206,true,Other,21/5/1601,2001-05-21T00:00:00,Privy Council,,LA/191,,false,LEM,2001-06-25T12:22:44,LEM,2001-06-25T12:25:10
CP/LA/18,LA,18,T/LA/48,true,Suspect's,27/7/1605,2005-07-27T00:00:00,Privy Council,,,,false,LEM,2001-06-25T13:06:46,LEM,2001-06-25T13:07:03
CP/LA/19,LA,19,T/LA/208,true,Family member,20/7/1609,2009-07-20T00:00:00,Privy Council,AF/LA/65,,,false,LEM,2001-06-25T14:54:56,LEM,2001-06-25T14:55:41
CP/LA/2,LA,2,T/LA/83,true,Unknown,1/1629,2029-01-01T00:00:00,Privy Council,,,,false,LEM,2001-06-12T13:11:00,LEM,2001-06-12T13:11:44
CP/LA/20,LA,20,T/LA/326,true,Other,7/11/1661,1961-11-07T00:00:00,Privy Council,,LA/298,Investigator,false,LEM,2001-07-03T15:45:02,LEM,2001-07-03T15:47:45
CP/LA/21,LA,21,T/LA/302,true,Suspect's,18/9/1661,1961-09-18T00:00:00,Privy Council,,,,false,LEM,2001-07-05T10:49:05,LEM,2001-07-05T10:49:55
