imprisonref,imprisonsystemid,imprisonid,trialref,centraltrialimprison,imprisondate,imprisondate_as_date,prison,location,moving,fate_in_prison,createdby,createdate,lastupdatedby,lastupdatedon
IM/JO/10,JO,10,T/JO/78,false,,,Tolbooth,Haddington,false,,jhm,2001-06-07T16:20:29,LEM,2002-10-28T12:45:55
IM/JO/11,JO,11,T/JO/79,false,,,Tolbooth,Haddington,false,,jhm,2001-06-08T09:24:01,LEM,2002-10-28T12:46:18
IM/JO/12,JO,12,T/JO/80,false,,,Tolbooth,Haddington,false,,jhm,2001-06-08T09:41:37,LEM,2002-10-28T12:46:29
IM/JO/127,JO,127,T/JO/416,true,,,Tolbooth,Canongate,false,Released,jhm,2001-07-16T12:22:16,jhm,2001-07-16T12:22:42
IM/JO/128,JO,128,T/JO/417,false,,,Tolbooth,Stirling,false,,jhm,2001-07-16T12:44:06,LEM,2002-10-28T12:58:03
IM/JO/129,JO,129,T/JO/420,false,3/1659,1959-03-01T00:00:00,Tolbooth,Stirling,false,,jhm,2001-07-16T14:53:27,jhm,2001-07-16T14:53:43
IM/JO/13,JO,13,T/JO/81,false,1630,2030-06-01T00:00:00,Tolbooth,Haddington,false,,jhm,2001-06-08T09:59:16,jhm,2001-06-08T09:59:30
IM/JO/130,JO,130,T/JO/422,false,3/1659,1959-03-01T00:00:00,Tolbooth,Stirling,false,,jhm,2001-07-16T15:12:37,jhm,2001-07-16T15:12:53
IM/JO/131,JO,131,T/JO/433,false,,,,Dalkeith,false,,jhm,2001-07-17T15:52:15,jhm,2002-10-18T10:32:40
IM/JO/14,JO,14,T/JO/82,false,,,Tolbooth,Haddington,false,Released,jhm,2001-06-08T14:24:19,LEM,2002-10-28T12:46:45
IM/JO/141,JO,141,T/LA/234,false,9/8/1615,2015-08-09T00:00:00,Tolbooth,Linlithgow,false,,jhm,2001-07-23T13:08:25,jhm,2001-07-23T13:16:52
IM/JO/142,JO,142,T/JO/511,false,,,,,false,,jhm,2001-07-23T13:32:32,jhm,2002-10-11T16:52:05
IM/JO/143,JO,143,T/LA/240,false,26/3/1617,2017-03-26T00:00:00,,,false,,jhm,2001-07-23T15:05:52,jhm,2001-07-23T15:06:25
IM/JO/144,JO,144,T/LA/239,false,3/1617,2017-03-01T00:00:00,,,false,,jhm,2001-07-23T15:10:13,jhm,2001-07-23T15:10:20
IM/JO/145,JO,145,T/LA/238,false,3/1617,2017-03-01T00:00:00,,,false,,jhm,2001-07-23T15:11:16,jhm,2001-07-23T15:11:20
IM/JO/146,JO,146,T/JO/513,false,,,,,false,,jhm,2001-07-24T10:24:22,jhm,2002-10-11T16:52:45
IM/JO/147,JO,147,T/JO/515,false,12/1643,2043-12-01T00:00:00,Tolbooth,Queensferry,false,,jhm,2001-07-24T12:28:57,jhm,2001-07-24T12:36:55
IM/JO/148,JO,148,T/JO/517,false,12/1643,2043-12-01T00:00:00,Tolbooth,Queensferry,false,,jhm,2001-07-24T12:57:40,jhm,2001-07-24T12:57:51
IM/JO/149,JO,149,T/JO/518,false,12/1643,2043-12-01T00:00:00,Tolbooth,Queensferry,false,,jhm,2001-07-24T13:03:20,jhm,2001-07-24T13:03:31
