moveref,movesystemid,moveid,trialref,moveto,moveexists,movedate,movedate_as_date,createdby,createdate,lastupdatedby,lastupdatedon
HLA/JO/10,JO,10,T/JO/342,Bishop,true,17/5/1632,2032-05-17T00:00:00,jhm,2001-07-04T13:35:08,jhm,2001-07-04T13:35:18
HLA/JO/100,JO,100,T/JO/1689,Presbytery,true,22/2/1603,2003-02-22T00:00:00,jhm,2002-08-02T11:37:27,jhm,2002-08-02T11:38:18
HLA/JO/101,JO,101,T/JO/1690,Presbytery,true,22/12/1603,2003-12-22T00:00:00,jhm,2002-08-02T11:50:21,jhm,2002-08-02T11:50:34
HLA/JO/102,JO,102,T/JO/1691,Presbytery,true,2/12/1603,2003-12-02T00:00:00,jhm,2002-08-02T11:53:29,jhm,2002-08-02T11:53:42
HLA/JO/103,JO,103,T/JO/1692,Presbytery,true,15/12/1603,2003-12-15T00:00:00,jhm,2002-08-02T11:55:54,jhm,2002-08-02T11:57:56
HLA/JO/104,JO,104,T/JO/1693,Presbytery,true,12/1/1604,2004-01-12T00:00:00,jhm,2002-08-02T12:02:54,jhm,2002-08-02T12:03:02
HLA/JO/105,JO,105,T/JO/1694,Presbytery,true,21/7/1675,1975-07-21T00:00:00,jhm,2002-08-02T14:12:56,jhm,2002-08-02T14:13:08
HLA/JO/106,JO,106,T/JO/1694,Local magistrate,true,15/9/1675,1975-09-15T00:00:00,jhm,2002-08-02T14:13:08,jhm,2002-08-02T14:13:46
HLA/JO/11,JO,11,T/JO/343,Bishop,true,24/1/1633,2033-01-24T00:00:00,jhm,2001-07-04T13:46:56,jhm,2001-07-04T13:47:09
HLA/JO/118,JO,118,T/JO/1951,Presbytery,true,12/1663,1963-12-01T00:00:00,jhm,2002-09-04T10:02:23,jhm,2002-09-04T10:02:36
HLA/JO/119,JO,119,T/JO/1952,Presbytery,true,12/1663,1963-12-01T00:00:00,jhm,2002-09-04T10:08:20,jhm,2002-09-04T10:08:27
HLA/JO/12,JO,12,T/JO/369,Synod,true,6/11/1649,2049-11-06T00:00:00,jhm,2001-07-09T10:51:40,jhm,2001-07-09T10:52:05
HLA/JO/13,JO,13,T/JO/433,Presbytery,true,10/9/1657,1957-09-10T00:00:00,jhm,2001-07-17T15:27:30,jhm,2001-07-17T15:27:44
HLA/JO/14,JO,14,T/JO/433,Bailie,true,16/11/1657,1957-11-16T00:00:00,jhm,2001-07-17T15:55:17,jhm,2002-11-13T14:13:24
HLA/JO/15,JO,15,T/JO/510,Presbytery,true,23/12/1612,2012-12-23T00:00:00,jhm,2001-07-23T12:16:32,jhm,2001-07-23T12:16:45
HLA/JO/16,JO,16,T/JO/511,Local sheriff,true,10/1/1616,2016-01-10T00:00:00,jhm,2001-07-23T13:42:36,jhm,2001-07-23T13:43:00
HLA/JO/17,JO,17,T/LA/354,Bailie,true,5/6/1622,2022-06-05T00:00:00,jhm,2001-07-23T15:43:01,jhm,2002-11-13T14:13:38
HLA/JO/18,JO,18,T/LA/353,Bailie,true,5/6/1622,2022-06-05T00:00:00,jhm,2001-07-23T15:48:35,jhm,2002-11-13T14:13:53
HLA/JO/19,JO,19,T/JO/574,Burgh Council,true,17/5/1649,2049-05-17T00:00:00,jhm,2001-07-31T12:08:50,jhm,2001-07-31T12:09:17
HLA/JO/20,JO,20,T/JO/593,Presbytery,true,5/1692,1992-05-01T00:00:00,jhm,2001-08-13T11:27:34,jhm,2001-08-13T11:28:40
HLA/JO/21,JO,21,T/JO/639,Local sheriff,true,31/12/1661,1961-12-31T00:00:00,jhm,2001-08-29T11:00:56,jhm,2001-08-29T11:01:17
HLA/JO/22,JO,22,T/JO/795,Local magistrate,true,3/10/1649,2049-10-03T00:00:00,jhm,2001-09-06T12:40:15,jhm,2001-09-06T12:40:40
HLA/JO/220,JO,220,T/JO/1468,Archbishop,true,,,jhm,2002-09-17T11:51:15,jhm,2002-09-17T11:51:23
HLA/JO/221,JO,221,T/LA/154,Archbishop,true,,,jhm,2002-10-02T14:41:29,jhm,2002-10-02T14:41:32
HLA/JO/222,JO,222,T/LA/1096,Presbytery,true,,,jhm,2002-10-03T16:05:49,jhm,2002-10-03T16:05:53
HLA/JO/224,JO,224,T/LA/2001,Presbytery,true,,,jhm,2002-10-23T12:11:32,jhm,2002-10-23T12:11:36
HLA/JO/225,JO,225,T/LA/2000,Presbytery,true,,,jhm,2002-10-23T12:14:23,jhm,2002-10-23T12:14:26
HLA/JO/226,JO,226,T/LA/1998,Presbytery,true,,,jhm,2002-10-23T12:15:51,jhm,2002-10-23T12:15:55
HLA/JO/227,JO,227,T/LA/1999,Presbytery,true,,,jhm,2002-10-23T12:17:38,jhm,2002-10-23T12:17:41
HLA/JO/228,JO,228,T/LA/1997,Presbytery,true,,,jhm,2002-10-23T12:19:37,jhm,2002-10-23T12:19:41
HLA/JO/229,JO,229,T/JO/366,Presbytery,true,,,jhm,2002-10-23T12:38:54,jhm,2002-10-23T12:38:59
HLA/JO/23,JO,23,T/JO/796,Local laird,true,4/1647,2047-04-01T00:00:00,jhm,2001-09-07T11:42:48,jhm,2001-09-07T12:08:42
HLA/JO/230,JO,230,T/LA/2055,Presbytery,true,,,jhm,2002-10-23T13:58:38,jhm,2002-10-23T13:58:43
HLA/JO/231,JO,231,T/JO/538,Presbytery,true,,,jhm,2002-10-23T14:47:16,jhm,2002-10-23T14:47:20
HLA/JO/232,JO,232,T/JO/534,Local laird,true,27/2/1650,1950-02-27T00:00:00,jhm,2002-10-24T12:50:10,jhm,2002-10-24T12:50:32
HLA/JO/233,JO,233,T/JO/1396,Presbytery,true,,,jhm,2002-10-25T16:39:42,jhm,2002-10-25T16:39:47
HLA/JO/234,JO,234,T/JO/1421,Presbytery,true,,,jhm,2002-10-25T17:15:12,jhm,2002-10-25T17:15:17
HLA/JO/236,JO,236,T/LA/1565,Justice of the Peace,true,,,jhm,2002-11-04T12:47:55,jhm,2002-11-04T12:47:59
HLA/JO/24,JO,24,T/JO/797,Local laird,true,4/1647,2047-04-01T00:00:00,jhm,2001-09-07T12:51:33,jhm,2001-09-07T12:51:42
HLA/JO/25,JO,25,T/JO/870,Bailie,true,24/4/1706,2006-04-24T00:00:00,jhm,2001-09-25T12:17:49,jhm,2002-11-13T14:14:19
HLA/JO/26,JO,26,T/JO/872,Kirk Session,true,7/1659,1959-07-01T00:00:00,jhm,2001-10-03T10:13:26,jhm,2001-10-03T10:13:39
HLA/JO/27,JO,27,T/JO/873,Local sheriff,true,31/5/1692,1992-05-31T00:00:00,jhm,2001-10-03T10:27:30,jhm,2001-10-03T10:27:56
HLA/JO/28,JO,28,T/JO/966,Local sheriff,true,6/3/1700,2000-03-06T00:00:00,jhm,2001-10-10T15:08:58,jhm,2001-10-10T15:10:42
HLA/JO/29,JO,29,T/JO/967,Presbytery,true,27/2/1705,2005-02-27T00:00:00,jhm,2001-10-10T15:26:00,jhm,2001-10-10T15:26:29
HLA/JO/31,JO,31,T/JO/1077,Local sheriff,true,29/1/1706,2006-01-29T00:00:00,jhm,2001-10-23T10:47:32,jhm,2001-10-23T10:47:51
HLA/JO/32,JO,32,T/JO/1135,Local sheriff,true,30/11/1698,1998-11-30T00:00:00,jhm,2001-12-04T15:46:02,jhm,2001-12-04T15:46:25
HLA/JO/33,JO,33,T/JO/1137,Burgh Council,true,29/1/1650,1950-01-29T00:00:00,jhm,2001-12-05T13:31:35,jhm,2001-12-05T13:32:05
HLA/JO/34,JO,34,T/JO/1138,Burgh Council,true,27/11/1649,2049-11-27T00:00:00,jhm,2001-12-05T13:42:26,jhm,2001-12-05T13:44:28
HLA/JO/35,JO,35,T/JO/1139,Local magistrate,true,2/7/1650,1950-07-02T00:00:00,jhm,2001-12-05T13:49:06,jhm,2001-12-05T13:50:10
HLA/JO/36,JO,36,T/JO/1140,Local magistrate,true,15/4/1650,1950-04-15T00:00:00,jhm,2001-12-05T13:54:17,jhm,2001-12-05T13:54:43
HLA/JO/37,JO,37,T/JO/1144,Local magistrate,true,2/7/1650,1950-07-02T00:00:00,jhm,2001-12-06T10:41:53,jhm,2001-12-06T10:42:24
HLA/JO/38,JO,38,T/JO/1168,Local sheriff,true,18/2/1696,1996-02-18T00:00:00,jhm,2001-12-06T14:39:02,jhm,2001-12-06T14:39:25
HLA/JO/39,JO,39,T/JO/1182,Bishop,true,25/5/1637,2037-05-25T00:00:00,jhm,2002-01-17T13:03:00,jhm,2002-01-17T13:03:16
