shapechangingref,shapechangingsystemid,shapechangingid,caseref,shapechanging_type,details,createdby,createdate,lastupdatedby,lastupdatedon
SC/JO/1,JO,1,C/EGD/2120,Animal,dog (tyke),jhm,2001-05-16T16:50:39,jhm,2001-06-25T10:01:18
SC/JO/14,JO,14,C/EGD/402,Animal,cat,jhm,2001-07-11T10:15:37,jhm,2001-07-11T10:15:43
SC/JO/15,JO,15,C/EGD/400,Animal,cat,jhm,2001-07-16T10:45:45,jhm,2001-07-16T10:45:51
SC/JO/16,JO,16,C/JO/2846,Apparition,as herself,jhm,2001-07-24T10:27:32,jhm,2002-11-13T14:29:50
SC/JO/17,JO,17,C/JO/2882,Animal,cats,jhm,2001-09-07T13:14:27,jhm,2001-09-07T13:14:33
SC/JO/38,JO,38,C/EGD/2159,Animal,Dog,jhm,2002-05-09T13:03:12,jhm,2002-05-09T13:03:15
SC/JO/39,JO,39,C/EGD/2159,Animal,Cat,jhm,2002-05-09T13:04:56,jhm,2002-05-09T13:04:59
SC/JO/40,JO,40,C/EGD/2160,Apparition,as herself or a devil in her likeness,jhm,2002-05-09T16:59:43,jhm,2002-11-13T14:30:44
SC/JO/41,JO,41,C/EGD/2122,Animal,hares,jhm,2002-06-10T18:49:18,jhm,2002-06-10T18:49:21
SC/JO/42,JO,42,C/EGD/2122,Animal,cats,jhm,2002-06-10T18:49:22,jhm,2002-06-10T18:49:25
SC/JO/43,JO,43,C/EGD/2327,Animal,porpoise (pellack whale),jhm,2002-06-19T16:32:47,jhm,2002-06-19T16:33:06
SC/JO/44,JO,44,C/EGD/297,Animal,cat,jhm,2002-07-04T10:59:15,jhm,2002-07-04T10:59:20
SC/JO/45,JO,45,C/EGD/297,Animal,black dog,jhm,2002-07-04T10:59:21,jhm,2002-07-04T10:59:45
SC/JO/46,JO,46,C/EGD/294,Animal,Margaret Duchill appeared as a cat,jhm,2002-07-04T11:54:44,jhm,2002-07-04T11:55:03
SC/JO/47,JO,47,C/EGD/294,Animal,she took shape of cat,jhm,2002-07-04T14:18:00,jhm,2002-07-04T14:18:23
SC/JO/48,JO,48,C/EGD/2140,Animal,as a hare,jhm,2002-07-18T10:17:19,jhm,2002-07-18T10:17:23
SC/JO/5,JO,5,C/EGD/1324,Animal,cat,jhm,2001-06-13T12:41:21,jhm,2001-06-13T12:41:30
SC/JO/54,JO,54,C/EGD/1558,Animal,cat,jhm,2002-10-08T15:51:16,jhm,2002-10-08T15:51:22
SC/JO/55,JO,55,C/EGD/1558,Animal,hare,jhm,2002-10-08T15:51:23,jhm,2002-10-08T15:51:25
SC/LA/1,LA,1,C/EGD/160,Animal,Hare,LEM,2001-05-17T10:52:20,LEM,2001-05-17T10:52:27
SC/LA/10,LA,10,C/EGD/434,Apparition,to man in his sleep,LEM,2001-07-03T13:27:30,jhm,2002-11-13T14:30:52
SC/LA/11,LA,11,C/EGD/434,Apparition,to a man caught in a whirlwind,LEM,2001-07-03T13:27:44,jhm,2002-11-13T14:31:04
SC/LA/12,LA,12,C/EGD/409,Apparition,bedside and bedfoot many times,LEM,2001-07-04T12:54:50,jhm,2002-11-13T12:49:42
SC/LA/13,LA,13,C/EGD/409,Apparition,when people were injured,LEM,2001-07-04T12:56:03,jhm,2002-11-13T12:50:05
SC/LA/17,LA,17,C/EGD/691,Insect,Bummie Bee,LEM,2001-09-21T09:13:02,jhm,2002-11-13T12:36:09
SC/LA/18,LA,18,C/EGD/694,Insect,Bummie Bee,LEM,2001-09-21T09:15:01,jhm,2002-11-13T12:36:59
SC/LA/19,LA,19,C/EGD/694,Animal,Corbie,LEM,2001-09-21T09:15:12,LEM,2002-11-11T11:17:40
