sourceref,createdby,createdate,lastupdatedby,lastupdatedon
Abbotsford Club Miscellany,LEM,2002-06-17T11:12:29,jhm,2002-09-18T15:04:26
Aberdeen City Archives,jhm,2002-07-25T12:53:16,jhm,2002-07-25T12:53:16
Aberdeen Presbytery records,jhm,2002-03-11T16:04:36,jhm,2002-03-11T16:04:36
Aberdour Kirk session records,jhm,2002-06-28T14:12:01,jhm,2002-06-28T14:12:01
An Old Kirk Chronicle,jhm,2001-09-04T14:13:43,jhm,2001-09-04T14:13:43
APS,jhm,2001-07-17T09:19:17,jhm,2001-07-17T09:19:17
Argyll Justiciary Records,jhm,2001-06-27T12:02:22,jhm,2001-06-27T12:02:22
Ayr Burgh Accounts,LEM,2001-08-14T09:38:53,LEM,2001-08-14T09:38:53
Ayr Council Records (MS in Carnegie Library Ayr),LEM,2002-08-01T16:37:46,LEM,2002-08-01T16:37:46
Ayr Kirk Session records,jhm,2001-08-21T16:11:13,jhm,2001-08-21T16:11:13
Ayr Presbytery Records,LEM,2002-08-02T10:46:12,LEM,2002-08-02T10:46:12
Biggar Presbytery records,jhm,2001-08-02T10:21:02,jhm,2001-08-02T10:21:02
Book of the Universall Kirk . . T Thompson (ed.),LEM,2002-08-01T17:05:19,LEM,2002-08-01T17:05:19
Books of Adjournal,LEM,2001-06-15T16:23:18,LEM,2001-06-15T16:23:18
Brechin Presbytery records,jhm,2002-02-05T13:13:41,jhm,2002-02-05T13:13:41
"Burgh Court Book of Newton on Ayr (MS, Cargegie L)",LEM,2002-08-05T12:27:22,LEM,2002-08-05T12:27:22
Caithness Presbytery records,jhm,2002-04-17T09:12:59,jhm,2002-04-17T09:12:59
Calendar of State Papers Relating to Scotland,jhm,2002-11-12T09:03:53,jhm,2002-11-12T09:03:53
Canongate Burgh Court Book 1574-77,LEM,2002-07-10T09:02:46,LEM,2002-07-10T09:02:46
Circuit Court Books,LEM,2001-11-26T12:13:01,LEM,2001-11-26T12:13:01
Circuit Court Papers,LEM,2002-02-04T10:22:24,LEM,2002-02-04T10:22:24
Committee of Estates,LEM,2002-08-30T13:54:15,LEM,2002-08-30T13:54:15
Corstorphine Kirk Session records,jhm,2002-07-11T10:17:01,jhm,2002-07-11T10:17:01
County Folklore,jhm,2002-06-19T16:07:23,jhm,2002-06-19T16:07:23
Court of the Bishopric of Orkney,LEM,2002-06-17T16:17:49,LEM,2002-06-17T16:17:49
Cupar Presbytery records,jhm,2002-08-01T11:49:33,jhm,2002-08-01T11:49:33
Dalkeith Kirk Session records,jhm,2002-07-23T13:32:20,jhm,2002-07-23T13:32:20
Dalkeith Presbytery records,jhm,2001-06-29T12:41:53,jhm,2001-06-29T12:41:53
Dingwall Presbytery records,jhm,2002-04-02T11:04:39,jhm,2002-04-02T11:04:39
Domestic Annals of Scotland,LEM,2002-08-02T11:43:34,LEM,2002-08-02T11:43:34
Dumfries Kirk Session records,jhm,2002-05-01T16:17:25,jhm,2002-05-01T16:17:25
Dumfries Presbytery records,jhm,2001-10-03T09:22:39,jhm,2001-10-03T09:22:39
Dunbar Presbytery records,jhm,2001-06-26T11:08:47,jhm,2001-06-26T11:08:47
Dunbarton Presbytery records,jhm,2002-10-18T15:21:47,jhm,2002-10-18T15:21:47
Dunblane Presbytery records,jhm,2002-06-26T11:07:33,jhm,2002-06-26T11:07:33
Dundas Papers,jhm,2002-09-09T15:20:23,jhm,2002-09-09T15:20:23
Dundee Presbytery records,jhm,2002-07-16T10:03:07,jhm,2002-07-16T10:03:07
Dundonald Parish Records,LEM,2002-08-01T17:17:40,LEM,2002-08-01T17:17:40
Dunfermline Kirk Session records,jhm,2002-07-11T16:00:48,jhm,2002-07-11T16:00:48
Dunfermline Presbytery records,jhm,2002-01-16T11:54:31,jhm,2002-01-16T11:54:31
Dunoon Presbytery records,jhm,2002-01-14T09:47:46,jhm,2002-01-14T09:47:46
Duns Presbytery Records,jhm,2001-08-29T10:51:38,jhm,2001-08-29T10:51:38
Dysart Kirk session records,jhm,2002-07-02T09:13:57,jhm,2002-07-02T09:13:57
Edinburgh Presbytery records,jhm,2001-08-02T15:35:38,jhm,2001-08-02T15:35:38
Edinburgh Town Treasurer's Accounts,LEM,2002-01-08T17:13:09,LEM,2002-01-08T17:13:09
"Edinburgh, ECA Black Book",LEM,2002-09-10T12:40:33,LEM,2002-09-10T12:40:33
Elgin (St Giles) kirk session records,jhm,2002-06-28T09:53:28,jhm,2002-06-28T09:53:28
Elgin Presbytery records,jhm,2002-03-27T10:21:40,jhm,2002-03-27T10:21:40
Ellon Presbytery records,jhm,2002-03-04T15:42:39,jhm,2002-03-04T15:42:39
Exchequer Rolls,LEM,2002-08-01T11:45:47,LEM,2002-08-01T11:45:47
Family Papers,LEM,2002-11-06T10:47:48,LEM,2002-11-06T10:47:48
Fasti,LEM,2001-06-08T10:33:03,LEM,2001-06-08T10:33:03
Fordyce Presbytery records,jhm,2002-03-11T10:22:06,jhm,2002-03-11T10:22:06
Garioch Presbytery records,jhm,2002-03-04T11:57:15,jhm,2002-03-04T11:57:15
General Assembly Commission Records,LEM,2001-11-22T10:21:33,LEM,2001-11-22T10:21:33
Haddington Burgh Court Register,LEM,2002-08-28T21:00:37,LEM,2002-08-28T21:00:37
Haddington Presbytery records,jhm,2001-06-07T14:51:28,jhm,2001-06-07T14:51:28
High Court Minute Books,LEM,2002-08-05T10:01:47,LEM,2002-08-05T10:01:47
High Court Process Notes,LEM,2001-07-09T10:02:19,LEM,2001-07-09T10:02:19
High Court Record Index No. 1,LEM,2002-08-29T11:47:40,LEM,2002-08-29T11:47:40
Highland Papers,jhm,2002-08-27T09:04:00,jhm,2002-08-27T09:04:00
Humbie Kirk Session records,jhm,2002-07-22T11:15:58,jhm,2002-07-22T11:15:58
Inveresk Kirk Session records,jhm,2002-07-23T16:12:00,jhm,2002-07-23T16:12:00
Irvine Presbytery Records,LEM,2002-08-02T11:44:06,LEM,2002-08-02T11:44:06
Jedburgh Presbytery records,jhm,2001-09-03T11:17:00,jhm,2001-09-03T11:17:00
