Screen Name,Real Name,Tweets,Followers,Following,Favorites Count
katyperry,KATY PERRY,8736,106322958,205,5817
justinbieber,Justin Bieber,30648,103320489,315521,3449
BarackObama,Barack Obama,15479,96812526,626645,10
Taylorswift13,Taylor Swift,68,85622584,0,102
rihanna,Rihanna,10034,82250740,1130,1023
youtube,YouTube,21124,70422328,1029,1674
theellenshow,Ellen DeGeneres,15319,75399402,35985,580
ladygaga,Lady Gaga,8589,73575845,128604,1685
twitter,Twitter,6271,62122104,170,5213
jtimberlake,Justin Timberlake,3691,63557929,254,48
britneyspears,Britney Spears,5323,56000925,389439,2461
cristiano,Cristiano Ronaldo,3041,63745475,96,0
kimkardashian,Kim Kardashian West,24893,57008647,127,1
selenagomez,Selena Gomez,4331,54544345,1263,167
cnnbrk,CNN Breaking News,58812,53440374,120,18
jimmyfallon,jimmy fallon,10220,49696161,7754,49
arianagrande,Ariana Grande,40402,55246966,65183,32624
shakira,Shakira,5233,49185041,209,1232
ddlovato,Demi Lovato,16473,51616296,548,1892
jlo,Jennifer Lopez,12311,44040757,1734,6588
instagram,Instagram,11274,39446423,4,152
oprah,Oprah Winfrey,12328,39863435,288,149
drake,Drizzy,1712,36430789,634,11
kingjames,LeBron James,5555,39535045,176,83
nytimes,The New York Times,299066,40155551,885,15800
billgates,Bill Gates,2514,40934988,184,33
cnn,CNN,157481,38414834,1115,1478
kevinhart4real,Kevin Hart,34754,34986416,555,83
mileycyrus,Miley Ray Cyrus,9006,37669818,376,202
onedirection,One Direction,9908,31790697,3920,303
sportscenter,SportsCenter,99905,35109826,1661,1158
espn,ESPN,92482,33763747,285,95
bbcbreaking,BBC Breaking News,33423,35826828,3,0
harry_styles,Harry Styles.,5395,31338451,2045,76
pink,P!nk,6736,31126548,447,405
liltunechi,Lil Wayne WEEZY F,1739,32084797,48,13
wizkhalifa,Wiz Khalifa,43669,32508798,835,51
niallofficial,Niall Horan,12307,36157587,5975,369
brunomars,Bruno Mars,4064,37318728,109,178
adele,Adele,298,28830056,157,0
narendramodi,Narendra Modi,17249,36706884,1855,0
neymarjr,Neymar Jr,41083,34976842,747,809
kanyewest,,,,,
kaka,Kaka,4788,28827155,354,75
actuallynph,Neil Patrick Harris,2781,27610193,117,176
realdonaldtrump,Donald J. Trump,36378,42674771,45,23
danieltosh,daniel tosh,13618,27519316,131,2
srbachchan,Amitabh Bachchan,59830,31080948,1157,60
aliciakeys,Alicia Keys,7284,29410329,689,219
nba,NBA,177613,26844213,1671,246
